headline,incident_date,state,district,species,conflict_type,livestock_killed,human_injured,human_dead,summary,confidence,report_type,needs_review,source,url,village,article_body,body_status
Snow Leopard Kills 23 Sheep at Lankerchey - voiceofladakh.in,2022-01-29,Ladakh,,Snow Leopard,Livestock Attack,23,0,0,Snow leopard killed livestock in Ladakh.,0.98,single_incident,,voiceofladakh.in,https://news.google.com/rss/articles/CBMigAFBVV95cUxNeFRvMlpobUI0N0tqbVhVQ0VEYy1uWEVPZ0RHTDhmVTJ1Z3FCMUpyeW03NXg1RzJQQjhkNEdfVXJRMjNZc0I5SXhLSEtCOVE1c3RWLWdlRGMzOHV2V3VXaWhIVm50dnpzTFY1WTVxSVpjdi1fUWY1OVVIQTY5amljRA?oc=5,,"Snow Leopard Kills 23 Sheep at Lankerchey
KARGIL, JANUARY 29, 2022: At least 23 sheep were killed in a leopard attack in Youkmagatoo and Farka Gontabsa area of Lankerchey here today.
The snow leopard barged into the livestock shed of two farmers named Mohammad Ali Gontabsa and Mohd Hanifa of Youkma Gatoo during the intervening night of Saturday.
The owner of the sheep, Mohd Ali of Gongtabsa told the media that a leopard barged inside his livestock shed, killing nine sheep besides leaving several others wounded.
Another leopard attack was reported at the livestock shed of Mohd Hanifa where 14 Sheep have been killed.
Locals from the area appealed to the district administration to trap the roaming beast as according to them it has been on the prowl for the last many days in the area.
Similarly, the stray dogs’ menace has become a cause for concern for residents of village Lankerchey. They have been facing serious challenges due to the increasing menace of stray dogs that is also causing damage to livestock.
As many as 10 Sheep were reportedly killed in an attack by stray dogs in Lankerchey on Wednesday.
The resident said that the stray dogs have created fear among locals, especially among children. “The scare of dogs has badly hampered the movement of local”, said a resident while talking to media.
The residents complained that the fear of stray dogs is a long pending issue while the administration is in a deep slumber despite many complaints and media reports in the recent past.
The people of Lankerchey appealed to the district administration Kargil to look into the matter and take immediate steps to curb the menace.
The villagers also appeal to the administration to provide compensation to the owner who has suffered livestock damage in the recent attacks.","success(trafilatura, resolved_via_decode, 1784 chars)"
Snow leopard kills 37 sheep and Pashmina goats in Ladakh - India TV News,2020-04-22,Ladakh,,Snow Leopard,Livestock Attack,37,0,0,Snow leopard killed livestock in Ladakh.,0.98,single_incident,,India TV News,https://news.google.com/rss/articles/CBMinwFBVV95cUxNM2RJMDhKMFMzb2pPWnA4azNsS2p1N2hmci1BQVdjeks1Z1dYZXN6eENlUzRFNDg5eTNSQU5aaHNpNnVzeWdtTkZTdVBBazhjVm81NnRITUFGYVloTUZ5UGIyVVduVk5SQkxYN2l0bnU1SjNoTkQ5Q3RjVDc0SEJ4c1FFUlIxUGt4NklrN0pydE1NR01wcnE3UFNNNHA0RTA?oc=5,,"A snow Leopard killed 37 sheep and Pashmina goats in a remote village near here, taking the number of livestock perished in wild animal attacks over the past four weeks in the district to170, officials said on Wednesday.
The snow leopard strayed into the Yourgo village from a nearby forest and entered the livestock shed of Tsering Dorjay during the intervening night of April 19-20, the officials said.
Executive Councillor for Wildlife Konchok Stanzin immediately sent a wildlife team to the village to catch the snow leopard.
“Caught snow leopard will be released back into the wild after a few days,” he said, expressing grief over the huge loss of livestock which is the only means of sustenance for the nomad family.
He also directed wildlife warden to assess the livestock loss for giving timely compensation and also instructed him to provide a corral pen to the family for protecting the remaining livestock.
Konchok also directed the concerned to sanction a unit of sheep and goat to the affected family to recover the loss while the Revenue Department Durbuk was directed to assess the livestock loss.
This was the fourth wild animal attack on livestock within four weeks in the district, resulting in the killing of 170 cattle including 52 Pashmina goat kids in a wolf attack reported in the same village (Yourgo) on March 30.
Earlier on March 28, a snow Leopard killed 39 sheep at Ronjuk Khardong and two days later a Lynx killed 42 sheep and goats at Kherapulla Kargyam village.
Eurasian Lynx or Ee in Ladakhi is one of the medium-sized Wildlife cats which roam the high and cold snow covered mountains of Ladakh Himalaya.
The cat is agile and strong and is highly adapted to the thin air atmosphere of Ladakh.","success(trafilatura, resolved_via_decode, 1725 chars)"
Snow Leopard Which Killed Over 40 Sheep In Himachal Captured - NDTV,2020-05-03,Himachal Pradesh,,Snow Leopard,Livestock Attack,43,0,0,Snow leopard killed livestock in Himachal Pradesh.,0.98,single_incident,,NDTV,https://news.google.com/rss/articles/CBMirAFBVV95cUxQRW9DRm5TdmdXdlVQMGREQlAxR3czdzJWWmF0a0JMMEZISmZNTmd3enpMSzk3NHdMcFUzMkoybEJneFRrWTZqWFVFcUFYMW5hdk02WWhhb3hDeGtuUmFkcUlHaGlCZTdLbEs4UlcxTXliSUk5SThBMjhTUjdHeTdsZnc5WHlnamxoMENDdFA3UUlCQThycnJDTlY5WUJ1dkMxRGF5OEpYZUl0eHhH?oc=5,,,extraction_failed(page_fetch_failed after resolved_via_decode)
"Suspected leopard attack leaves 16 sheep dead, 17 injured in Budgam - Telangana Today",2026-09-10,Jammu & Kashmir,Budgam,Leopard,Livestock Attack,16,17,0,Leopard attack resulted in livestock casualties in Budgam.,0.98,single_incident,,Telangana Today,https://news.google.com/rss/articles/CBMimAFBVV95cUxQUFBSTFhmSno5U1NiQnZDZHVRbHNiSC1hd2xxVXJHdkR3VklwRmtNcGV1WGhDYk51RWlNV0JDbXZ2aUJYdmUtb1FyUE5RUjhFZHR6dDZjdW5lT2tsX09SblRoOFU1NDJDbktWMTQ2NlhDYlFWTzdHbkFNQS1JS0xldi1Bb1RfT29RNWlYakg0VEdUczRVVkh2MQ?oc=5,,"Srinagar: As many as 16 sheep were killed and 17 others injured in a suspected leopard attack on a flock in J&K’s Budgam district early on Thursday.
The flock was attacked in the Chadoora area of Budgam during the intervening night of Wednesday and Thursday.
The owner of the flock, Imtiyaz Ahmad Chopan, told reporters that a leopard had attacked his sheep, though the animal’s identity is yet to be confirmed.
He said the animal entered the livestock enclosure in Badipora village of Chadoora during the night and attacked the flock.
“We depend on livestock for our livelihood, and the incident has caused significant financial losses for us,” he said.
The flock owner appealed to the government and departments concerned to provide immediate assistance and compensation for the loss of livestock.
Meanwhile, locals also urged the Wildlife Department to inspect the site and take necessary measures to prevent further attacks in the area.
Wild predators such as Asiatic black bears and leopards frequently enter human settlements in Jammu and Kashmir due to severe habitat loss, climate change and dwindling food sources in the wild.
Between 2020 and mid-2025, Jammu and Kashmir recorded over 17,200 human-wildlife conflict incidents, resulting in more than 100 deaths and nearly 1,100 injuries. Asiatic black bears and leopards cause the majority of attacks, straying into villages, agricultural fields and apple orchards.
The chief reasons for human-animal conflict in J&K are unplanned development, deforestation and the conversion of buffer zones into residential areas or orchards, which shrink natural spaces.
Open garbage dumps, livestock and abundant fruit in orchards near forest fringes attract predators repeatedly.
Irregular weather and shifting snowfall patterns reduce natural forage and water availability at higher elevations, forcing animals down into human habitations.","success(trafilatura, resolved_via_decode, 1889 chars)"
"16 Sheep Killed, 17 Injured in Suspected Leopard Attack in Budgam - Kashmir Observer",2026-09-10,Jammu & Kashmir,Budgam,Leopard,Livestock Attack,16,17,0,Suspected leopard attack resulted in livestock casualties in Budgam.,0.98,single_incident,,Kashmir Observer,https://news.google.com/rss/articles/CBMipwFBVV95cUxPb2FFclVBSU5ieGppbWtZellScm0tS0Q0SG4zcnhEbXMwcHZuLUFEa0dKZUYta1NOUU1FV1BBY1NhTDR3SmdXejNkd1J3TjhMdWFteWtqdld3akVCOWs1Vi1nbTlYU3VDVXoybC1wbHZKZ3RENXhHM1cxbmZ1TzduZG1jUDU3ak1zODktYjFvWnl4NFhCSEVOUE9nSWVfbTI1aDVRRWRIVQ?oc=5,,"Srinagar- Sixteen sheep were killed and 17 others injured after a suspected leopard attacked a flock in Badipora village of Chadoora area in Budgam district during the intervening night of Wednesday and Thursday.
The owner of the flock, Imtiyaz Ahmad Chopan, said he suspected that a leopard had entered the livestock enclosure and attacked the sheep. However, the identity of the animal has not been confirmed.
According to Chopan, the animal entered the enclosure during the night and attacked the flock, resulting in significant losses.
“We depend on livestock for our livelihood, and the incident has caused significant financial losses for us,” he said, as per news agency KNO.
Chopan appealed to the government and concerned departments to provide immediate assistance and compensation for the loss of livestock.
Meanwhile, locals urged the Wildlife Department to inspect the site and take necessary measures to prevent further attacks in the area.","success(trafilatura, resolved_via_decode, 954 chars)"
2 Women Among 7 Injured In Leopard Attack - Kashmir Life,2020-04-29,Jammu & Kashmir,,Leopard,Human Injury,0,7,0,Leopard attack resulted in human injuries.,0.98,single_incident,,Kashmir Life,https://news.google.com/rss/articles/CBMifkFVX3lxTE41bG5EMmxVMlJvSXI1WFhURlUwaTdQVm5MX09jcUk5RnUxdDh4NUxXZ1NGaHkyZ2VHZVEtSU45NFBzOC1VMHp4VEhJUGhzSkFsNF9mQmdWcTN4eFZieTBsek1YdFdYNnU4QXJBbFZqMmNGU0Z4T00ydjY2QUxXUQ?oc=5,,"Srinagar
Seven persons including two women were injured after they were attacked by a leopard in Pohrupeth area of Handwara in north Kashmir’s Kupwara district on Wednesday.
Reports said that the leopard barged inside a residential house and attacked the inmates. In the meantime, neighbours gathered around the house and meanwhile informed the wildlife department about it. While the neighbours managed to rescue the family members, a team of wildlife officials reached the spot and tranquillized the animals inside the house.
Meanwhile, the victims were shifted to Sub District hospital Handwara for treatment.
Among the injured, five were identified as Meema Begum (45) wife of Mohd Sarwar Khan, Gulshan Begum (55) wife of Ghulam Nabi Dar, Mushtaq Ahmad Ganie son of Abdul Samad Ganai and two brothers namely Dilawar Dar (30), Manzoor Ahmad Dar (35) sons of Abdul Jabar Dar. A police officer also confirmed the injuries in the leopard attack. (GNS)","success(trafilatura, resolved_via_decode, 951 chars)"
5-Yr-Old Killed In Leopard Attack In Anantnag - Kashmir Observer,2025-12-17,Jammu & Kashmir,Anantnag,Leopard,Human Death,0,0,1,Leopard attack led to the death of a child.,0.98,single_incident,,Kashmir Observer,https://news.google.com/rss/articles/CBMioAFBVV95cUxNbmhIUTBmMDF5WF9mX24zUnlFR0x0RU1qWXZpMU5USGIxWllZZ05WZ3RldFo1TDA3U2Rydm5rTzRGekh1Z2cwb0dsaHdJSnhJTlpjeHY5ZjVDMmdRa2w2WUZpWHNjNEhkTzJ3Ui1qeVNQb2lId01NcWt2c3dHMUtGTk9rZTI0dElTVWdYS2FNQjZ1WERKcXlBcm4xVlJ6Y2x6?oc=5,,"Srinagar- Panic gripped Gallan Gujjar Basti in the Khiram area of south Kashmir’s Anantnag district on Wednesday evening after a leopard mauled a five-year-old girl to death.
Officials said the leopard attacked the child, identified as Sumiya Jan, daughter of Riyaz Ahmad Paswal, outside her home in Galan Achdar Khiram and dragged her away, triggering fear among residents who rushed to the spot and raised an alarm.
After the residents intervened, the leopard fled, leaving the girl critically injured. She was immediately taken to the Primary Health Centre at Srigufwara, where doctors declared her dead.
The incident sparked panic in the locality, with residents demanding immediate intervention by the Wildlife Department to trap the animal and prevent further loss of life.
Officials said the matter has been brought to the notice of the concerned authorities and necessary measures are expected to be taken to ensure the safety of people in the area.","success(trafilatura, resolved_via_decode, 957 chars)"
Leopard Mauls 5-Year-Old To Death In Budgam - Kashmir Observer,2024-03-28,Jammu & Kashmir,Budgam,Leopard,Human Death,0,0,1,Leopard attack resulted in the death of a child.,0.98,single_incident,,Kashmir Observer,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPMzlCaGpRQk9QdjlwQlVxRzlmbFBaOUxQcEVqTWw2LVYzQjlYUnVUcU9TWDIyaWlnbUkwelNlUVJWVHlaZ0J3VW92UGhwSUJLbWZ3RDhjQXR2Wi1OX3JNYlZnbU1xa3FUbEhoOFk5b3h1Nnp0MGtsQmtqQ2E4V0NrZll5bnkzdzU1SW9B?oc=5,,"Budgam- The peaceful tranquility of Budgam district in central Kashmir was shattered once again as a 6-year-old girl fell victim to a vicious leopard attack on Monday evening.
Toiba Mushtaq, daughter of Mushtaq Ahmad Khan, was tragically mauled to death by the wild predator in the Hariwani area, according to officials.
Her lifeless body was discovered by horrified villagers on the lawns of her home, marking the second such incident in the past 17 days.
Authorities wasted no time in responding to the distressing news, swiftly launching a massive operation aimed at capturing the elusive leopard responsible for the attack.
Cages had already been strategically placed in neighboring villages following the previous incident, as wildlife officials intensified their efforts to rescue the young girl and apprehend the dangerous animal.
The grim reality of the situation is underscored by the recent string of leopard attacks in the region. Just over two weeks ago, a 9-year-old girl met a similar tragic fate in the nearby village of Samsan, succumbing to injuries inflicted by a leopard.
Another minor boy narrowly escaped with injuries in a separate incident, highlighting the urgent need for comprehensive measures to address the growing threat posed by these predatory animals.","success(trafilatura, resolved_via_decode, 1283 chars)"
Beasts On Prowl: Leopard Mauls Minor To Death In Bandipora - Kashmir Observer,2023-08-29,Jammu & Kashmir,Bandipora,Leopard,Human Death,0,0,1,Leopard attack led to the death of a minor.,0.98,single_incident,,Kashmir Observer,https://news.google.com/rss/articles/CBMinwFBVV95cUxQa3NQVFJrV1ZEYl90bldtLUdMOU9zVy1SR0ZwRmc2TDJuUXRZSkt0WjFvQW0yS0JsSDNlNGJNYXkyaW44aHpnTWhWN2l3ZWtvbnc0NUFwc00xaVFEQllGdWhOR0tqY2JHTVNXUlp3RGY0SEJtVkQ5Q0RxS3NVcEJvUjBXeXVpM2ExWnlYS25KNnd4TjJNS25Gb1dNeGZmRDA?oc=5,,"Srinagar- In yet another deadly incident of man-animal conflict, a seven-year-old boy on Tuesday was mauled to death by a leopard in Nesbal area of North Kashmir’s Bandipora district.
7-year-old Zaid Bashir had gone missing from his native Nesbal village on Monday evening following which a massive search operation was launched by Police, army’s 13RR. CRPF with the assistance of the locals, officials said Tuesday.
According to them, bloodstains and clothes of the boy were found near a field, leading them to suspect that a leopard, which had been sighted often in the area, had attacked the boy.
After overnight search, the boy’s mutilated body was found in a nearby hillock in Nesbal in the early morning on Tuesday.
After legal-medical formalities, the body was handed over to his family members for last rites.
Meanwhile, three people, including a woman were attacked and injured on Tuesday by a black bear in Damhal Hanjipora area of South Kashmir Kulgam district.
Muhammad Ramzan Malik, Muhammad Shafi Malik and Raja Begum were working in an orchard in their native Nagam village of DH Pora when a bear appeared there and attacked them, reports said. The trio sustained injuries in the surprise bear attack. They raised an alarm following which other villagers rushed to their rescue.
All the injured, reports said, were removed to the district hospital, Kulgam for treatment.
“We were passing through the area when we learnt that a bear had mauled a man. We rushed to the spot and found three people, including a woman injured,” Zahid Iqbal, an eyewitness said.
He said that the area has been witnessing frequent attacks by wild animals. Iqbal urged the Deputy Commissioner (DC) Kulgam and wildlife department to look into the matter and save villagers from further beast attacks. (With KNO inputs)","success(trafilatura, resolved_via_decode, 1808 chars)"
J&K: Leopard attacks nearly dozen goats in Samba region - archive.siasat.com,2023-04-23,Jammu & Kashmir,,Leopard,Livestock Attack,0,0,0,Leopard attacked goats in Samba region.,0.98,single_incident,,archive.siasat.com,https://news.google.com/rss/articles/CBMimgFBVV95cUxQWDlGTWpOSkJUVFdCbE15RWJUNG8za1NoN1piMk5laWxGc2gxY2Y1RXNvbzhpVDMtWGdLYnViQ3UtaUxrM1VILUZDSW0yX19lZDl0ODNoaU5IWWRObG9yZUxCQ1l2NFdQNldWSGhKVldQOE9FZEhySm9UQ3I2eExSazVIYlc3OW56RXIxbGZjWjZVNGozc0NINFZB?oc=5,,"Jammu: A leopard killed nearly a dozen sheep in the Gurha Slathia area of Jammu and Kashmir’s Samba district on Sunday, police officials said.
Joint teams have been formed and traps placed to capture the big cat, they said.
The leopard ventured into the Ghar Mandi locality of Gurha Slathia from the nearby forest area and attacked a herd of goats, they said, adding that while eight goats were found dead on the spot, three others are missing and are believed to have been taken away by the animal.
A couple of days back, a girl sustained serious injuries after being attacked by a leopard near the Parmandal area.
The wildlife department has been informed about the frequent visit of leopards in the villages adjoining the forest area, officials said, adding that the animal will be caught soon.","success(trafilatura, resolved_via_decode, 797 chars)"
