headline,incident_date,state,district,species,conflict_type,livestock_killed,human_injured,human_dead,summary,confidence,report_type,needs_review,source,url,date,village,article_body,body_status
Snow Leopard Kills 23 Sheep at Lankerchey - Voice of Ladakh,2022-01-29,Ladakh,,Snow Leopard,Livestock Attack,23.0,0.0,0.0,Snow leopard killed livestock in Ladakh.,0.98,single_incident,,Voice of Ladakh,https://news.google.com/rss/articles/CBMigAFBVV95cUxNeFRvMlpobUI0N0tqbVhVQ0VEYy1uWEVPZ0RHTDhmVTJ1Z3FCMUpyeW03NXg1RzJQQjhkNEdfVXJRMjNZc0I5SXhLSEtCOVE1c3RWLWdlRGMzOHV2V3VXaWhIVm50dnpzTFY1WTVxSVpjdi1fUWY1OVVIQTY5amljRA?oc=5,,,"Snow Leopard Kills 23 Sheep at Lankerchey
KARGIL, JANUARY 29, 2022: At least 23 sheep were killed in a leopard attack in Youkmagatoo and Farka Gontabsa area of Lankerchey here today.
The snow leopard barged into the livestock shed of two farmers named Mohammad Ali Gontabsa and Mohd Hanifa of Youkma Gatoo during the intervening night of Saturday.
The owner of the sheep, Mohd Ali of Gongtabsa told the media that a leopard barged inside his livestock shed, killing nine sheep besides leaving several others wounded.
Another leopard attack was reported at the livestock shed of Mohd Hanifa where 14 Sheep have been killed.
Locals from the area appealed to the district administration to trap the roaming beast as according to them it has been on the prowl for the last many days in the area.
Similarly, the stray dogs’ menace has become a cause for concern for residents of village Lankerchey. They have been facing serious challenges due to the increasing menace of stray dogs that is also causing damage to livestock.
As many as 10 Sheep were reportedly killed in an attack by stray dogs in Lankerchey on Wednesday.
The resident said that the stray dogs have created fear among locals, especially among children. “The scare of dogs has badly hampered the movement of local”, said a resident while talking to media.
The residents complained that the fear of stray dogs is a long pending issue while the administration is in a deep slumber despite many complaints and media reports in the recent past.
The people of Lankerchey appealed to the district administration Kargil to look into the matter and take immediate steps to curb the menace.
The villagers also appeal to the administration to provide compensation to the owner who has suffered livestock damage in the recent attacks.","success(trafilatura, resolved_via_decode, 1784 chars)"
Snow leopard kills 37 sheep and Pashmina goats in Ladakh - India TV News,2020-04-22,Ladakh,,Snow Leopard,Livestock Attack,37.0,0.0,0.0,Snow leopard killed livestock in Ladakh.,0.98,single_incident,,India TV News,https://news.google.com/rss/articles/CBMinwFBVV95cUxNM2RJMDhKMFMzb2pPWnA4azNsS2p1N2hmci1BQVdjeks1Z1dYZXN6eENlUzRFNDg5eTNSQU5aaHNpNnVzeWdtTkZTdVBBazhjVm81NnRITUFGYVloTUZ5UGIyVVduVk5SQkxYN2l0bnU1SjNoTkQ5Q3RjVDc0SEJ4c1FFUlIxUGt4NklrN0pydE1NR01wcnE3UFNNNHA0RTA?oc=5,,,"A snow Leopard killed 37 sheep and Pashmina goats in a remote village near here, taking the number of livestock perished in wild animal attacks over the past four weeks in the district to170, officials said on Wednesday.
The snow leopard strayed into the Yourgo village from a nearby forest and entered the livestock shed of Tsering Dorjay during the intervening night of April 19-20, the officials said.
Executive Councillor for Wildlife Konchok Stanzin immediately sent a wildlife team to the village to catch the snow leopard.
“Caught snow leopard will be released back into the wild after a few days,” he said, expressing grief over the huge loss of livestock which is the only means of sustenance for the nomad family.
He also directed wildlife warden to assess the livestock loss for giving timely compensation and also instructed him to provide a corral pen to the family for protecting the remaining livestock.
Konchok also directed the concerned to sanction a unit of sheep and goat to the affected family to recover the loss while the Revenue Department Durbuk was directed to assess the livestock loss.
This was the fourth wild animal attack on livestock within four weeks in the district, resulting in the killing of 170 cattle including 52 Pashmina goat kids in a wolf attack reported in the same village (Yourgo) on March 30.
Earlier on March 28, a snow Leopard killed 39 sheep at Ronjuk Khardong and two days later a Lynx killed 42 sheep and goats at Kherapulla Kargyam village.
Eurasian Lynx or Ee in Ladakhi is one of the medium-sized Wildlife cats which roam the high and cold snow covered mountains of Ladakh Himalaya.
The cat is agile and strong and is highly adapted to the thin air atmosphere of Ladakh.","success(trafilatura, resolved_via_decode, 1725 chars)"
"Snow leopard which killed over 40 sheep in HP’s Spiti captured, sent to Himalayan Nature Park in Kufri - The Statesman",2020-05-04,Himachal Pradesh,,Snow Leopard,Livestock Attack,40.0,0.0,0.0,Snow leopard that killed livestock captured in Himachal Pradesh.,0.98,single_incident,,The Statesman,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQZi1SQlBQczBkSGRoNnF0RTBFaGItNGRYZTRaRGJiVXdLZjRBbThPRzlIQmhiV2NFOUw4UWdCNXpXaHVGVGdtOF9NWmQwQWIyMzBhM2ZDRU9YZjcyMmtxTE1QNjZPWXZZcmtYWFBXc1ZWQ2pGRGtOeEZtTzJKbE5rV01wNGpLMmxveEJsQ0RIOFhabmo3bW1GVGs2YjdnVHozUWhVd1hyQkMtOEswNTMwVTNDbDdrNVRTOHhOLVpDWVRFWnBObW0wcklUbU5kZllaV1Myd0kyR3M2WDBTeXNhanR1SnhJZ9IB6wFBVV95cUxONDVUMXZJNm5oampyZmVhVFdQdGZGWG44LUk5V045OVlVbTVYeVFnS2JXd2NMUjBtamlhN3B3OWg5bkV3U3o3ZC1iRHRqTTRMYmpCRHdtcVpWNGw4ZFlrcjQ2emx2YU9ILU0wYW4xa0d2aFlkTWVxTEVzS0EyY3JTWkhlSERMOTdlYlhlNnluWXNNVTd4dTFyWGhjM1NvcXJ4Qnd6U2pZb2dRcXlSdFh4LWh5OXBLWGJ6V1V1N2NobHpkZHVIMXFDZmZfa1BZUG5fQl9Ka0p1YWpIbXVzLVoyNGxUS2Z2OG5LcEo4?oc=5,,,"The forest department is caught in the middle, trying to protect both wildlife and people in a landscape where the boundary between the two worlds is becoming increasingly thin.
The Forest department in Himachal Pradesh’s Lahaul and Spiti, with the help of locals captured a snow leopard which had killed over 40 sheep in the past four days in the district, officials said on Sunday.
“The snow leopard was captured in Geu village of Spiti on Saturday,” said Kaza Divisional Forest Officer (DFO) Hardev Negi.
Advertisement
The snow leopard was sent to the Himalayan Nature Park in Kufri of Shimla district, he added.
Advertisement
In India the five Himalayan states, Jammu and Kashmir, Uttarakhand, Himachal Pradesh, Sikkim and Arunachal Pradesh, are the abode of snow leopard.
The species is found generally in the cold deserts above the treeline. It has been spotted in Ladakh (J&K) and Lahaul-Spiti (Himachal Pradesh).
Besides India, snow leopard is found in China, Bhutan, Mongolia, Nepal, Pakistan, Russia, Tajikistan, Afghanistan, Kazakhstan, Burma, Uzbekistan, Kyrgyzstan.
The habitat of the species has been disturbed with the ongoing road projects, particularly the China-Pakistan Economic Corridor and the network of roads being laid by China in the mountain region.
Wildlife experts have many a times expressed concern on the issue of interference of human beings in the habitat of snow leopard.
Last year, on the occasion of International Snow Leopard Day, on October 23, Union Environment Minister Prakash Javadekar had said that a protocol has been decided among the member countries to formulate the roadmap for enumeration of snow leopards while addressing the inaugural session of the fourth steering committee meeting of the Global Snow Leopard and Ecosystem Protection (GSLEP) programme.
Javadekar added that the plan is to increase the population of snow leopards by doubling the figures once the enumeration is completed in the world.
The minister further added that the maximum population of snow leopards is in Mongolia and China.
In a tweet, Javedekar reiterated that with the cooperation of the range countries, the population of Snow Leopards will also be doubled in the coming decade.”
Advertisement","success(trafilatura, resolved_via_decode, 2225 chars)"
"Snow leopard which killed 43 sheep, goats captured in Lahaul and Spiti village | Hindustan Times - Hindustan Times",2020-05-03,Himachal Pradesh,,Snow Leopard,Livestock Attack,43.0,0.0,0.0,Snow leopard captured after killing livestock in Himachal Pradesh.,0.98,single_incident,,Hindustan Times,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQYklwXzRGREhvUkxyMzdUTl9TendnWGRRTDdVRW9MSlVDNDlCLXhVMEh5X0pCTzJ0aDlvWFZROU43RGtWQ2VpRUt4NXh6UHhEcldPQ1ZwenA1V3YtVlhUcVJmTmdWbjV1U0NfdWtldEFjSUtBMXBCRkhOQmIyaWtSTTFsaVNvbGFzQ2R2ZnJUek55dVBkbS1nUzN1ZEtOVkFsMkRUcm5XRm1vckI1bE1kaTdXVGJWX2FEYi1POHR6Q0pfaXVrRTJtOUtxN2Vja1ZUdjVnZFN1QlRDc2RoWm8xNkZtc9IB6AFBVV95cUxPY0hqZW1ESFE0V1dfZkp2RHJMNzJLeXBWTEhMNU1fR0t1bTRua2xwV2Zvb0tIeHoxdHhWQVpaMGtNQkNFNlh0MDk2Ry1zQ3pVN0pTTzAzRElHZ09zM3NZN3FXM3RBcHBOZm1hRjJPRHBpbG51bHNUZTlWZmR1djhWbS1SaEJUb3pUUmU2T0ktam5iODJrQTJPR2o1T2JEVTdXdnI3TEtLeFgxblZiZjFrY2tjbUpSV25QWHRhRnMySm1HNlVubnJ5WFhFRWlkeXN5U2NKRUdSUG5hMG85VmwzdVZ3NDNsa0pZ?oc=5,,,"Snow leopard which killed 43 sheep, goats captured in Lahaul and Spiti village
Spotted by a local livestock owner first, the animal was trapped by officials of the forest department’s wildlife wing and brought to Shimla
A snow leopard that’s believed to have reportedly killed more than 40 goats and sheep in the remote village of Gue, located 10,000 feet above sea level in Lahaul and Spiti district, has been captured by officials of the forest department’s wildlife wing and brought to Shimla.
After medical tests to check for injuries the animal was quarantined at the Himalayan Nature Park in Kufri.
Special transportation arrangements were made to move it animal due to the Covid-19 lockdown in the state
Gue, which is 500 km away from the state capital, is located between the towns Sumdo and Tabo and is famed for a Tibetan monk mummified there that’s believed to be 500 years old. The snow leopard had in four attacks on livestock corralled in the village in the last two weeks killed around 43 sheep and goats. According to the villagers, three days back a livestock owner had walked into a shed at his farm where cattle, horses and sheep were kept and saw the leopard trapped there and sheep carcasses lying on the floor.
Frightened he called other villagers to help and they later informed the civil authorities at Spiti after which additional district magistrate, Gian Sagar Negi, dispatched a team headed by the forest ranger to trap the leopard.
The officials then trekked for four hours to reach the spot, fixed the wires of the enclosure to make sure the leopard remained trapped, and captured it.
“The team adopted standard operation procedures to trap the leopard,” Negi said. Wildlife team members believe the same leopard killed 15 sheep on April 20; 12 sheep on April 29 and 11 goats on April 30.
“It is evident that the snow leopard is not fit to prey in the wild and is looking for easy prey in the enclosures. Now that it has been rescued and there’s possibility of internal injury, so it’s not advisable to release it in its natural habitat without a medical checkup,” Negi added.
The captured animal was later moved to the Rescue and Rehabilitation Centre, Shimla, in a pick-up van for medical examination before being quarantined.
The state animal of Himachal Pradesh, the snow leopard can be found at altitudes of 9,800 to 17,000 feet in high and rugged terrains. It’s range spans the Kibber Wildlife Sanctuary in Lahaul and Spiti to Pangi in Chamba district.
A survey done by the wildlife wing with the Nature Conservation Foundation of India covering parts of the animal’s habitat across HP revealed a population of 100 in the region. The animals had been spotted in seven areas, including Miyar, Thandi, Chandra and Bagha in the upper Spiti region of Lahaul and Spiti district.","success(trafilatura, resolved_via_decode, 2809 chars)"
Man-animal conflict: Leopard attack claims third life in 1 week in Uttarakhand’s Nainital - Times Now,2020-10-26,Uttarakhand,,Leopard,Human Death,0.0,0.0,1.0,Leopard attack resulted in a human death in Uttarakhand.,0.98,single_incident,,Times Now,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQdGE1alhwS1VZTkRhRjdIVlBXbm5iUDNJcURDelRfU1J3SWx5M1dEbU5RTnhxcS1Wd3A3YnNJNGkxbFlGX0QzUTVEZnFVWUptcHRrWFNjZUxVS05BSldlQmc5dF9fejFCZk1ka3EtYm9EU3N4alItZE1WWldjTlFHdmtLNWpad3NYUXFlQjJGZzQ5RHNPVVlnTjJtUnVoMUd2d2xXYXRMQ1dxNTB5ZkgzampUMkFLbldzcThTUU1zSktBeDlHZks2eHItdDZjMnplb0o2YtIB2gFBVV95cUxQM0JsWG1EYVVWX1dfMUh1WTJVOWRHRjE0OWstRzVVaWxVVVVGcDE0Q0RTd01wTkJsV1ppOVhDYVltUVU5RGYyOWZXTGVvSGRadGdaOS00U1lkSktfWG9oTXB2MGVXaGYtZmtVMWNuMUZ0OUhEdV9oV3dRQzQzLU5kTmd4eHh6VFNuMHhFMDd3ZDE4aGNsYUpNT25hQmZWTkNVSjI4dV80aFdnNXZfM2ZENW5rV0V0dzFtODZ2MURZUzdGdmliSXZwbW9GcXBVY0tyMEV5R25ybHBkZw?oc=5,,,"Dehradun: In yet another incident of human-wildlife conflict, a leopard attacked and killed a 45-year-old woman in Okhalkanda block of Uttarakhand’s Nainital district on Saturday. She was the third person to fall prey to a leopard attack in the block since October 21.
Khilmuli Devi, a resident of the block’s Dehna gram Sabha, was collecting fodder for her animals on Saturday when a leopard pounced on her and mauled her to death. The big cat, after hearing screams of villagers, left Devi’s body and fled.
Speaking to The Times of India, Mayank Jha, divisional forest officer (Champawat), said, “We have sought permission from senior officials to either rap or tranquilise the animal. A team of around dozen people are actively scanning the forests and are in alert to trap the leopard.
Other two victims of leopard attacks in Nainital's Okhalkanda block
On Thursday (October 22), an 18-year-old girl was killed by a leopard in Okhalkanda block’s Bajwan village and on Wednesday (October 21), a 13-year-old girl was mauled to death by a leopard in Tushran village which also comes under Okhalkanda.
It may be noted that the forest department has already declared two leopards in the block as man-eaters. Efforts are underway to either tranquilise or shoot them.
Another incident
Meanwhile, Thane Police’s Crime Branch, on Friday night, arrested two men with leopard skin worth Rs 10 lakh in the illicit market.
Acting on a tip-off, Unit I of the Crime Branch arrested the two accused, identified as Sahaji Dande (30) and Sachin Bhosale (33), near CIDCO bus stop on Friday night, a police official said.
The accused, both residents of Pune, have been booked under the Wildlife (Protection) Act.","success(trafilatura, resolved_via_decode, 1696 chars)"
"Suspected leopard attack leaves 16 sheep dead, 17 injured in Budgam - Telangana Today",2026-09-10,Jammu & Kashmir,,Leopard,Livestock Attack,16.0,17.0,0.0,Leopard suspected of killing livestock and injuring others in Budgam.,0.98,single_incident,,Telangana Today,https://news.google.com/rss/articles/CBMimAFBVV95cUxQUFBSTFhmSno5U1NiQnZDZHVRbHNiSC1hd2xxVXJHdkR3VklwRmtNcGV1WGhDYk51RWlNV0JDbXZ2aUJYdmUtb1FyUE5RUjhFZHR6dDZjdW5lT2tsX09SblRoOFU1NDJDbktWMTQ2NlhDYlFWTzdHbkFNQS1JS0xldi1Bb1RfT29RNWlYakg0VEdUczRVVkh2MQ?oc=5,,,"Srinagar: As many as 16 sheep were killed and 17 others injured in a suspected leopard attack on a flock in J&K’s Budgam district early on Thursday.
The flock was attacked in the Chadoora area of Budgam during the intervening night of Wednesday and Thursday.
The owner of the flock, Imtiyaz Ahmad Chopan, told reporters that a leopard had attacked his sheep, though the animal’s identity is yet to be confirmed.
He said the animal entered the livestock enclosure in Badipora village of Chadoora during the night and attacked the flock.
“We depend on livestock for our livelihood, and the incident has caused significant financial losses for us,” he said.
The flock owner appealed to the government and departments concerned to provide immediate assistance and compensation for the loss of livestock.
Meanwhile, locals also urged the Wildlife Department to inspect the site and take necessary measures to prevent further attacks in the area.
Wild predators such as Asiatic black bears and leopards frequently enter human settlements in Jammu and Kashmir due to severe habitat loss, climate change and dwindling food sources in the wild.
Between 2020 and mid-2025, Jammu and Kashmir recorded over 17,200 human-wildlife conflict incidents, resulting in more than 100 deaths and nearly 1,100 injuries. Asiatic black bears and leopards cause the majority of attacks, straying into villages, agricultural fields and apple orchards.
The chief reasons for human-animal conflict in J&K are unplanned development, deforestation and the conversion of buffer zones into residential areas or orchards, which shrink natural spaces.
Open garbage dumps, livestock and abundant fruit in orchards near forest fringes attract predators repeatedly.
Irregular weather and shifting snowfall patterns reduce natural forage and water availability at higher elevations, forcing animals down into human habitations.","success(trafilatura, resolved_via_decode, 1889 chars)"
2 Women Among 7 Injured In Leopard Attack - Kashmir Life,2020-04-29,Jammu & Kashmir,,Leopard,Human Injury,0.0,7.0,0.0,Leopard attack resulted in injuries to multiple individuals.,0.98,single_incident,,Kashmir Life,https://news.google.com/rss/articles/CBMifkFVX3lxTE41bG5EMmxVMlJvSXI1WFhURlUwaTdQVm5MX09jcUk5RnUxdDh4NUxXZ1NGaHkyZ2VHZVEtSU45NFBzOC1VMHp4VEhJUGhzSkFsNF9mQmdWcTN4eFZieTBsek1YdFdYNnU4QXJBbFZqMmNGU0Z4T00ydjY2QUxXUQ?oc=5,,,"Srinagar

Seven persons including two women were injured after they were attacked by a leopard in Pohrupeth area of Handwara in north Kashmir’s Kupwara district on Wednesday.

Reports said that the leopard barged inside a residential house and attacked the inmates. In the meantime, neighbours gathered around the house and meanwhile informed the wildlife department about it. While the neighbours managed to rescue the family members, a team of wildlife officials reached the spot and tranquillized the animals inside the house.

Meanwhile, the victims were shifted to Sub District hospital Handwara for treatment.

Among the injured, five were identified as Meema Begum (45) wife of Mohd Sarwar Khan, Gulshan Begum (55) wife of Ghulam Nabi Dar, Mushtaq Ahmad Ganie son of Abdul Samad Ganai and two brothers namely Dilawar Dar (30), Manzoor Ahmad Dar (35) sons of Abdul Jabar Dar. A police officer also confirmed the injuries in the leopard attack. (GNS)","success(newspaper3k, resolved_via_decode, 955 chars)"
5-Yr-Old Killed In Leopard Attack In Anantnag - Kashmir Observer,2025-12-17,Jammu & Kashmir,,Leopard,Human Death,0.0,0.0,1.0,A five-year-old boy was killed in a leopard attack in Anantnag.,0.98,single_incident,,Kashmir Observer,https://news.google.com/rss/articles/CBMioAFBVV95cUxNbmhIUTBmMDF5WF9mX24zUnlFR0x0RU1qWXZpMU5USGIxWllZZ05WZ3RldFo1TDA3U2Rydm5rTzRGekh1Z2cwb0dsaHdJSnhJTlpjeHY5ZjVDMmdRa2w2WUZpWHNjNEhkTzJ3Ui1qeVNQb2lId01NcWt2c3dHMUtGTk9rZTI0dElTVWdYS2FNQjZ1WERKcXlBcm4xVlJ6Y2x6?oc=5,,,"Representational Photo

Srinagar- Panic gripped Gallan Gujjar Basti in the Khiram area of south Kashmir’s Anantnag district on Wednesday evening after a leopard mauled a five-year-old girl to death.

ADVERTISEMENT

Officials said the leopard attacked the child, identified as Sumiya Jan, daughter of Riyaz Ahmad Paswal, outside her home in Galan Achdar Khiram and dragged her away, triggering fear among residents who rushed to the spot and raised an alarm.

After the residents intervened, the leopard fled, leaving the girl critically injured. She was immediately taken to the Primary Health Centre at Srigufwara, where doctors declared her dead.

The incident sparked panic in the locality, with residents demanding immediate intervention by the Wildlife Department to trap the animal and prevent further loss of life.

Officials said the matter has been brought to the notice of the concerned authorities and necessary measures are expected to be taken to ensure the safety of people in the area.","success(newspaper3k, resolved_via_decode, 1000 chars)"
Beasts On Prowl: Leopard Mauls Minor To Death In Bandipora - Kashmir Observer,2023-08-29,Jammu & Kashmir,Bandipora,Leopard,Human Death,0.0,0.0,1.0,Leopard mauled a minor to death in Bandipora.,0.98,single_incident,,Kashmir Observer,https://news.google.com/rss/articles/CBMinwFBVV95cUxQa3NQVFJrV1ZEYl90bldtLUdMOU9zVy1SR0ZwRmc2TDJuUXRZSkt0WjFvQW0yS0JsSDNlNGJNYXkyaW44aHpnTWhWN2l3ZWtvbnc0NUFwc00xaVFEQllGdWhOR0tqY2JHTVNXUlp3RGY0SEJtVkQ5Q0RxS3NVcEJvUjBXeXVpM2ExWnlYS25KNnd4TjJNS25Gb1dNeGZmRDA?oc=5,,,"Representational Photo

Srinagar- In yet another deadly incident of man-animal conflict, a seven-year-old boy on Tuesday was mauled to death by a leopard in Nesbal area of North Kashmir’s Bandipora district.

ADVERTISEMENT

7-year-old Zaid Bashir had gone missing from his native Nesbal village on Monday evening following which a massive search operation was launched by Police, army’s 13RR. CRPF with the assistance of the locals, officials said Tuesday.

According to them, bloodstains and clothes of the boy were found near a field, leading them to suspect that a leopard, which had been sighted often in the area, had attacked the boy.

After overnight search, the boy’s mutilated body was found in a nearby hillock in Nesbal in the early morning on Tuesday.

After legal-medical formalities, the body was handed over to his family members for last rites.

Meanwhile, three people, including a woman were attacked and injured on Tuesday by a black bear in Damhal Hanjipora area of South Kashmir Kulgam district.

ADVERTISEMENT

Muhammad Ramzan Malik, Muhammad Shafi Malik and Raja Begum were working in an orchard in their native Nagam village of DH Pora when a bear appeared there and attacked them, reports said. The trio sustained injuries in the surprise bear attack. They raised an alarm following which other villagers rushed to their rescue.

All the injured, reports said, were removed to the district hospital, Kulgam for treatment.

“We were passing through the area when we learnt that a bear had mauled a man. We rushed to the spot and found three people, including a woman injured,” Zahid Iqbal, an eyewitness said.

He said that the area has been witnessing frequent attacks by wild animals. Iqbal urged the Deputy Commissioner (DC) Kulgam and wildlife department to look into the matter and save villagers from further beast attacks. (With KNO inputs)","success(newspaper3k, resolved_via_decode, 1871 chars)"
J&K: Leopard attacks nearly dozen goats in Samba region - The Siasat Daily,2023-04-23,Jammu & Kashmir,Samba,Leopard,Livestock Attack,0.0,0.0,0.0,Leopard attacked goats in Samba region.,0.95,single_incident,,The Siasat Daily,https://news.google.com/rss/articles/CBMimgFBVV95cUxQWDlGTWpOSkJUVFdCbE15RWJUNG8za1NoN1piMk5laWxGc2gxY2Y1RXNvbzhpVDMtWGdLYnViQ3UtaUxrM1VILUZDSW0yX19lZDl0ODNoaU5IWWRObG9yZUxCQ1l2NFdQNldWSGhKVldQOE9FZEhySm9UQ3I2eExSazVIYlc3OW56RXIxbGZjWjZVNGozc0NINFZB?oc=5,,,"Jammu: A leopard killed nearly a dozen sheep in the Gurha Slathia area of Jammu and Kashmir’s Samba district on Sunday, police officials said.
Joint teams have been formed and traps placed to capture the big cat, they said.
The leopard ventured into the Ghar Mandi locality of Gurha Slathia from the nearby forest area and attacked a herd of goats, they said, adding that while eight goats were found dead on the spot, three others are missing and are believed to have been taken away by the animal.
A couple of days back, a girl sustained serious injuries after being attacked by a leopard near the Parmandal area.
The wildlife department has been informed about the frequent visit of leopards in the villages adjoining the forest area, officials said, adding that the animal will be caught soon.","success(trafilatura, resolved_via_decode, 797 chars)"
